gene_id	symbol	newCLP.LPS1h.1	newCLP.LPS1h.2	newCLP.LPS1h.3	C57.1	C57.2	C57.3	CLP.1	CLP.2	CLP.3	C57LPS1h.1	C57LPS1h.2	C57LPS1h.3	CLP.2DG.LPS1h.1	CLP.2DG.LPS1h.2	CLP.2DG.LPS1h.3	CLP.2DG.1	CLP.2DG.2	CLP.2DG.3
ENSMUSG00000000001.4	Gnai3	112.4557257	104.7079623	116.6786262	132.4341239	102.0911529	78.95056472	152.1047161	123.1053908	93.95594629	116.4780415	118.3745613	112.4061978	98.77103418	89.56536083	108.2896393	102.9531775	93.15452733	118.0757385
ENSMUSG00000000028.15	Cdc45	3.127702918	3.357837456	3.167118063	5.919027809	7.8886135	6.36532008	3.772693273	4.300953414	4.411913048	5.36717583	4.10716834	5.565481824	6.495518922	11.33500798	2.794504714	7.001149903	11.99305231	4.039806746
ENSMUSG00000000049.11	Apoh	0	0	1.000381362	0	0.167037213	0.125821573	0	0	0	0.062132069	0	0	0	0	0	0	0	0
ENSMUSG00000000056.7	Narf	4.503093011	3.973728223	4.887910268	21.93217106	17.99148233	14.59070425	27.17697312	25.22136467	21.33147685	3.293041034	2.715305307	2.277191259	3.860449187	4.096784413	1.942184077	4.550831302	3.318452463	2.607700119
ENSMUSG00000000058.6	Cav2	0.034733175	0.516427159	0.390678059	0.092873465	0	0	0.180792511	0.168129479	0.048258011	0.12472617	0.195648535	0.210210121	0.218165256	0.274743561	0.145566229	0.290998366	0.308700747	0.263825388
ENSMUSG00000000078.7	Klf6	68.35530614	73.04426112	56.34639647	93.21616245	70.58532441	75.62144043	83.39212844	90.54081085	78.98174107	74.43564514	82.35840913	91.42539829	83.51193101	84.11825617	77.79816647	88.31999465	86.84918427	83.3619334
ENSMUSG00000000085.16	Scmh1	1.623180268	1.198480792	1.572115323	0.676076122	0.994461268	0.594313518	0.838395747	1.261464293	0.666161552	1.368168897	1.097185649	1.261969944	1.369331966	2.009309145	1.404310741	1.365531483	1.630716303	1.135314543
ENSMUSG00000000088.7	Cox5a	13.98548949	15.36762758	17.57676592	20.10463536	24.8230139	26.91079047	18.77022477	19.99682774	19.81434281	11.09646225	10.40913531	10.58490612	14.25033958	18.11383085	12.87651108	16.09936358	21.98180441	15.34166328
ENSMUSG00000000093.6	Tbx2	0.159728542	0.396820369	0.611388279	0.080081273	0.055072529	0.090509767	0.088337971	0.198818309	0.197267227	0.043701497	0.074460833	0.134263872	0.100328341	0.123408877	0.04868509	0.039167512	0.049811643	0.059183517
ENSMUSG00000000127.15	Fer	1.423188131	1.625763598	2.322768948	3.135384878	2.364598245	2.146626502	2.512262605	2.04533155	1.539862497	0.626397466	0.341339806	0.50348493	0.637410818	0.837773995	0.650679346	0.460254529	0.860632364	0.541084036
ENSMUSG00000000131.15	Xpo6	25.92142113	18.91616533	20.9371014	19.0608448	24.37643186	21.32211768	20.87872854	26.9502885	21.44816027	23.24478508	20.285527	16.46281515	28.58400508	22.82236638	21.3831331	30.51809289	22.10103253	20.77251467
ENSMUSG00000000134.17	Tfe3	25.4201072	24.70835082	21.53575911	14.00713262	13.23775553	14.2498875	11.58472892	10.8052082	12.40424675	25.15905604	25.76239746	28.38301316	19.10087053	17.17158813	28.62857156	15.14373504	12.5930685	20.28742057
ENSMUSG00000000148.17	Brat1	1.471606791	1.185492753	1.233695352	3.070261645	4.774986094	3.27533348	2.826752834	2.161669589	3.085046812	1.933006198	1.591247312	1.519063057	1.901672639	1.98981419	1.61775889	1.873239021	2.195231902	3.278554182
ENSMUSG00000000149.10	Gna12	4.651264581	6.84155377	6.45557973	9.350473183	11.920588	10.71223895	6.343168902	6.999518067	8.58516675	5.589761801	5.163838392	6.287885278	5.697539579	7.366936753	4.244057857	6.007638162	6.709689509	4.862410997
ENSMUSG00000000154.16	Slc22a18	0	1.270339016	2.689766251	0.205091014	0	0.214628484	0	0	0.126302113	0	0	0	0	0	0	0	0.25513881	0.202094814
ENSMUSG00000000157.16	Itgb2l	294.8518617	272.0091949	280.4937265	261.5342106	384.8923797	263.5180257	255.3818938	306.3000351	321.2109699	232.9924659	229.1481436	196.0153468	186.4090112	211.2429288	194.0312306	191.2723426	211.9242442	210.5000062
ENSMUSG00000000159.16	Igsf5	0.321381676	0.302432608	0.493290532	0.268545761	0.283617338	0.267383876	0.343531747	0.301611586	0.205543381	0.439647802	0.374547137	0.12349509	0.100932777	0.228034952	0.367337975	0.197017397	0.193288127	0.187125941
ENSMUSG00000000168.9	Dlat	1.110304062	1.673229937	1.683553653	2.119667916	2.513532297	2.123291126	2.263658641	2.536990614	1.954386901	1.021600761	0.980845451	1.574311225	1.846501433	3.01791871	1.661988997	1.855443966	3.227152174	1.774420183
ENSMUSG00000000171.5	Sdhd	32.6207809	31.61243786	35.16472001	40.50935353	49.39603172	48.75874453	37.01046494	41.01063245	51.77288798	36.70298295	33.50262633	31.65453912	40.70848925	33.77179328	25.52617396	44.76385239	43.01942256	44.69804559
ENSMUSG00000000184.12	Ccnd2	0.279051596	0.641821294	0.51463099	3.05321888	0.788811005	1.224684865	0.48261395	0.148982839	0.311690186	1.425211539	1.477812882	3.437740756	0.674688633	0.690734704	0.464360756	0.465404729	0.721777002	0.421945953
ENSMUSG00000000194.13	Gpr107	3.023061799	2.816071237	3.50511148	5.3255832	5.061673423	4.933080859	5.373931622	4.865961041	4.481074341	4.738581147	4.071285713	3.764759815	3.103305066	2.956096633	3.03012723	3.035263303	2.947087928	3.182177056
ENSMUSG00000000204.16	Slfn4	1176.712402	1077.464566	1080.371277	1260.434212	137.5618032	475.6597814	880.6244123	864.679934	795.1657257	583.3378717	566.4684005	3357.62457	2021.818373	1197.931402	700.4115111	2232.251055	1139.595865	669.6162722
ENSMUSG00000000244.17	Tspan32	2.601366597	2.682294056	2.373875376	6.269559492	6.959143694	6.943279654	5.866580506	4.972626413	6.726649487	2.821501578	2.324307111	1.643107225	1.639800267	2.703737915	1.444199377	2.05035704	3.218888436	1.690220094
ENSMUSG00000000253.13	Gmpr	0.041553716	0.178312674	0.711557127	0.499999474	0.329526384	0.149126605	0.145998903	0.017241	0.223239755	0.392231755	0.319623845	0.444297243	0.281886791	0.513681261	0.10449061	0.315874826	0.489835214	0.092380297
ENSMUSG00000000275.16	Trim25	21.6981184	18.98595147	23.86700436	32.89298329	15.2731241	23.02059276	33.22722713	19.32588941	20.86265318	24.60299929	22.67554284	27.45734732	50.96481996	42.13577416	40.12163719	60.17109789	47.61835483	46.20563697
ENSMUSG00000000276.11	Dgke	0.253206653	0.192354742	0.222589486	0.487016101	0.218256714	0.415219236	0.249369097	0.193401594	0.113003521	0.344810389	0.20656585	0.464376583	0.123620259	0.134655511	0.110503602	0.237069222	0.232581826	0.171433908
ENSMUSG00000000278.10	Scpep1	0.975880199	6.580866803	8.309016778	2.427866624	0.849115792	0.834686796	1.042283484	0.095495574	0.230243873	2.030832753	1.673788614	3.278107821	1.665421755	2.621658873	0.547190692	1.69314971	3.06626885	0.440046521
ENSMUSG00000000282.12	Mnt	5.123750086	4.315924068	4.694547421	6.698218945	6.984435271	8.334155766	5.257182337	5.812436044	4.715015015	6.622545394	6.486803935	7.238955491	6.3173918	6.253961109	3.839106581	7.95487621	7.405024419	5.366145272
ENSMUSG00000000290.13	Itgb2	1063.245371	975.6121955	964.2680526	915.6887973	1043.137416	876.065208	847.6787252	985.4449739	994.3353001	923.6217984	900.2634015	804.4103084	934.1681595	999.304892	1091.92385	958.6832124	1037.038756	1161.740911
ENSMUSG00000000295.13	Hddc2	0.115570976	0.099434758	0.238368535	0.286953328	0.014231256	0.03638222	0.225588005	0.159838031	0.265073619	0.118575193	0.025655167	0.127677747	0.274813283	0.255120062	0.025161365	0.087717511	0.308923061	0.287519192
ENSMUSG00000000303.12	Cdh1	0.320779424	1.434657247	4.549122944	0.207380266	0.072763806	0.099653966	0.420175097	0.175123934	0.015638193	0.558634405	0.300060008	0.417231294	0.059650836	0.121124527	0.086838064	0.191473244	0.217182682	0.037533788
ENSMUSG00000000308.14	Ckmt1	0	0.069875226	0	0	0.013334201	0.262971486	0.279308042	0.296851206	0.128958708	0	0	0.078019359	0	0	0	0	0	0
ENSMUSG00000000318.16	Clec10a	0	0.067681834	0	0.594304882	0.264053049	0.559747977	0.038996832	0	0.055515856	0	0.162984206	0.389606987	0.087841806	0.110254913	0	0.073484683	0.168218677	0.125843061
ENSMUSG00000000320.10	Alox12	0.037808287	0.186790079	0.309429241	2.24148887	0.814740876	0	0.046124772	0.294131043	0.455264752	0.450946497	0.165235605	0.162081637	0.080149696	0.109542372	0	0.023177707	0.022107346	0.320454475
ENSMUSG00000000325.16	Arvcf	0.060375724	0.866848228	0.599465764	0.219096319	0.166039095	0.027152181	0.033671427	0.071572617	0.061249785	0.21238342	0.097168707	0.098600668	0	0.003173284	0.023003071	0.014099915	0.080692636	0
ENSMUSG00000000326.13	Comt	0.579480682	1.558449359	1.60517594	3.738631532	4.193132134	4.932619451	1.704111779	1.265429502	2.591941002	1.243848689	0.710887253	0.861392885	0.373560611	1.42225644	0.461897867	0.89744959	1.569342163	0.279691202
ENSMUSG00000000339.14	Rtca	2.228388743	2.643959625	3.227281151	3.315625944	4.52318782	4.373905882	5.311831838	4.931792727	4.74641213	2.212562641	2.465379682	2.206321074	3.454075307	5.225140609	1.701938808	3.223180656	5.668299979	2.750982068
