,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000034855.13,2666.72934301435,3.07412090720972,0.215796680971998,14.2454503626431,4.78453512261163e-46,6.47826055601615e-42
ENSMUSG00000029378.5,56.1858589915004,4.55546862524093,0.56889854408939,8.00752378885529,1.17041110416889e-15,7.92368317522339e-12
ENSMUSG00000024401.14,75336.4270046141,2.85495002085304,0.363588437389397,7.85214744822987,4.08973262697693e-15,1.84583265897559e-11
ENSMUSG00000019850.11,52745.3140445307,3.34804592072773,0.455424021200025,7.35149171953151,1.96006911144836e-13,6.63483394225271e-10
ENSMUSG00000021025.8,89973.6470981695,2.09470782557366,0.323494790492334,6.47524438457162,9.46586079390072e-11,2.56335510298832e-07
ENSMUSG00000023467.18,84.6479725425874,1.84613184894009,0.291514680037463,6.3328949633097,2.40603367547444e-10,5.42961599432066e-07
ENSMUSG00000109061.1,19.613947099537,7.77870023486547,1.27471673136134,6.10229711706865,1.04554782829112e-09,2.02238822786596e-06
ENSMUSG00000030156.5,4407.51479638127,2.84315061482203,0.473665344014123,6.00244592675384,1.94367002348326e-09,3.28966151474542e-06
ENSMUSG00000018899.16,9951.42090565344,1.25661377757699,0.211692038194353,5.93604647721001,2.9197706221206e-09,4.39263269150143e-06
ENSMUSG00000025383.2,631.489076840418,4.92972007910862,0.840248220211058,5.86698068562447,4.43802349495932e-09,5.50390711621747e-06
ENSMUSG00000038067.2,112.484981015532,3.99126927351432,0.680437797472381,5.86573715972374,4.47141641642483e-09,5.50390711621747e-06
ENSMUSG00000043953.12,16176.5462817246,2.22056041278427,0.381293878018574,5.82375050006993,5.75414602212044e-09,6.49259476162589e-06
ENSMUSG00000040435.12,4901.54966067155,1.58012092232648,0.286940205511099,5.50679511611823,3.65425132448368e-08,3.80604330257761e-05
ENSMUSG00000035356.17,104386.118013816,2.7875984128543,0.515549146424382,5.4070468978328,6.40723709174229e-08,6.19671358729933e-05
ENSMUSG00000026170.6,8.28228858423086,6.53408192764275,1.27944698525059,5.10695793023657,3.27386600749815e-07,0.000288877832791504
ENSMUSG00000046108.3,88.515726766123,3.96838527791892,0.778259722169004,5.09905005344367,3.41362283948602e-07,0.000288877832791504
ENSMUSG00000029380.11,175.959297688511,2.64486617014192,0.542664362631383,4.87385270209554,1.09442604178668e-06,0.000823251589210646
ENSMUSG00000024014.8,31058.6145378323,2.09693822034996,0.432849455853351,4.84449776242852,1.26932348527931e-06,0.00090455999950957
ENSMUSG00000047766.15,51.4528999023028,2.29363013392346,0.480126559362726,4.77713654701336,1.77809037023435e-06,0.00118825785129165
ENSMUSG00000036390.8,10899.8158989201,1.50097655775484,0.316008278909097,4.74980137525641,2.03616539712146e-06,0.00119868171639237
ENSMUSG00000032487.8,4446.65886649835,2.2591560864373,0.477283440346707,4.7333636482259,2.20829329819273e-06,0.00124584546906373
ENSMUSG00000035235.13,713.474009649103,1.71654256143455,0.369673889238796,4.64339681920495,3.42727188811805e-06,0.00171871338389327
ENSMUSG00000048621.3,145.699408379301,1.83410125556263,0.407435825991883,4.50157089425704,6.74530581276481e-06,0.00314936002430467
ENSMUSG00000038763.12,6.30148445396452,6.12961269966893,1.37358628300296,4.46248828742544,8.10133580717413e-06,0.00360797302246866
ENSMUSG00000089809.9,722.539317426671,1.52292869199971,0.341592598152838,4.45831876988831,8.26049953445558e-06,0.00360797302246866
ENSMUSG00000027399.1,2777.17739186133,3.46885531434361,0.798606167244478,4.34363702237937,1.40142998553443e-05,0.00592980062629255
ENSMUSG00000036931.15,28432.678988896,1.41526770777971,0.327211075528622,4.32524389797409,1.52363189815911e-05,0.00625150784881041
ENSMUSG00000004902.7,78.5267760522457,1.08408607419246,0.255022340841795,4.25094550780937,2.12869959375828e-05,0.00800627569430199
ENSMUSG00000037126.16,336.09372658465,1.59887693930512,0.378945906107634,4.21927487151947,2.45089318464253e-05,0.00873291940001574
ENSMUSG00000116069.1,8.96603674170473,5.63928879471791,1.33915900354644,4.21106737869334,2.54166917837009e-05,0.00882415401926438
ENSMUSG00000050395.8,7.2065719944966,6.31748863001396,1.52317161137038,4.14758821846094,3.35996018732292e-05,0.0113734652340881
ENSMUSG00000062931.15,4.0845918556809,5.52157146202592,1.35521273337191,4.07432082510593,4.61488268779937e-05,0.0145315143239078
ENSMUSG00000003541.6,6570.50022809273,1.06744982484961,0.264209617034509,4.04016264370191,5.34141466600285e-05,0.0164369896767451
ENSMUSG00000028464.16,3.57192025451768,5.33091930616251,1.38384823210623,3.85224274055601,0.000117040913037178,0.033506451998732
ENSMUSG00000035678.8,213.525120760467,3.09874553972068,0.805172249618194,3.84854984904172,0.000118819120348379,0.033506451998732
ENSMUSG00000022176.11,6.23997739312376,6.10777197118352,1.59143916651364,3.83789220455332,0.000124094932305096,0.0336049076682199
