,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000028088.14,2905.74781822,-1.50551670119278,0.0930951607141255,-16.1718040942631,7.97289968434971e-59,3.7594879644937e-55
ENSMUSG00000027068.6,4289.83448802671,-2.56176728462067,0.195434296160727,-13.1080743500304,2.960193518652e-39,1.04687243787128e-35
ENSMUSG00000040693.7,5193.75954142159,-1.4545926932756,0.112282441716765,-12.9547654204461,2.2081004658074e-38,6.24715783786229e-35
ENSMUSG00000039220.16,1981.61420494718,-2.79856449164357,0.244285212485911,-11.4561354867314,2.19073338336218e-30,3.87376430513018e-27
ENSMUSG00000026986.14,326.517210783436,-1.53351513225444,0.139154760708445,-11.0202132104373,3.05334991533327e-28,4.31926879023045e-25
ENSMUSG00000001768.16,3307.99985068288,-1.98753178097521,0.183984809946774,-10.8026949700369,3.34246432604765e-27,3.9402083630225e-24
ENSMUSG00000026357.3,1856.15143126242,-1.88573315368807,0.175737132288342,-10.7304195142665,7.32628121545289e-27,7.40268386241404e-24
ENSMUSG00000059248.13,5118.11418300956,-1.06572088150576,0.100761113239678,-10.5767080894666,3.82149652059028e-26,3.60392598535134e-23
ENSMUSG00000070796.11,12935.9153810586,-17.1236126516436,1.6417104036841,-10.4303491122534,1.8022489846566e-25,1.59341338355952e-22
ENSMUSG00000033834.7,17552.7830868205,-17.5639231102391,1.70565321777752,-10.2974760210197,7.23342764103153e-25,5.68467041166845e-22
ENSMUSG00000038891.3,14408.207387416,-17.2791172973584,1.68087062403881,-10.2798615492726,8.68522742804669e-25,6.46638037879729e-22
ENSMUSG00000045576.16,621.721490656398,-1.03547246077891,0.100876194258878,-10.264785149622,1.01546763688585e-24,7.18240259569362e-22
ENSMUSG00000021786.13,332.972517142778,-1.79263639350884,0.181622904982275,-9.87010087567856,5.6108156114695e-23,3.45089554955859e-20
ENSMUSG00000039031.16,1127.7456394844,-1.06395582254147,0.108589624027174,-9.79795106644092,1.14892468444136e-22,6.77195357754479e-20
ENSMUSG00000027204.13,146.959913357003,-2.08356577873094,0.212921476549938,-9.78560647094831,1.2981467667773e-22,7.06291698570448e-20
ENSMUSG00000055298.6,8766.52369584772,-16.5623048120724,1.69221978787741,-9.78732486803436,1.27627866284893e-22,7.06291698570448e-20
ENSMUSG00000074359.2,11022.6266240321,-16.8926916627075,1.72981351413333,-9.76561434205881,1.58150564040757e-22,8.28591807007609e-20
ENSMUSG00000070797.4,5472.17724288491,-15.8824224449075,1.62773814616628,-9.75735715373783,1.71567872794095e-22,8.66785403051884e-20
ENSMUSG00000066760.12,9470.26314064618,-16.6737018535025,1.71394035847766,-9.72828591790226,2.28409228488604e-22,1.11416446420682e-19
ENSMUSG00000062705.7,8269.66226235355,-16.4781283598921,1.69673165964045,-9.71168791851499,2.68847542638969e-22,1.18847416817839e-19
ENSMUSG00000091996.8,212.450084699861,-2.06886022076853,0.217356400343446,-9.51828525637853,1.76060088653074e-21,6.9181833724622e-19
ENSMUSG00000030368.10,7411.50039747759,-16.3200636711662,1.72430178645539,-9.46473743712516,2.94299494590405e-21,1.09556859223049e-18
ENSMUSG00000006490.3,7681.1062971108,-16.3716119768829,1.7295220195911,-9.46597487134249,2.90835326021097e-21,1.09556859223049e-18
ENSMUSG00000069258.10,4747.62373950194,-15.6775125887785,1.66327943785908,-9.42566368099763,4.27394024157975e-21,1.5502348373689e-18
ENSMUSG00000021439.8,5015.07161113286,-15.7565740718463,1.68537880977348,-9.34898076353768,8.84963812117852e-21,3.12967452155478e-18
ENSMUSG00000021346.14,4123.78587750267,-15.4742767376032,1.66059918066772,-9.31848992685943,1.18007806262752e-20,3.97461530331639e-18
ENSMUSG00000074870.4,6253.889639941,-16.0750522306471,1.73609845025108,-9.25929760971923,2.05781413603855e-20,6.76972994613986e-18
ENSMUSG00000008789.10,3914.60512131826,-15.399172501748,1.68557799805157,-9.13584095161926,6.49003776665828e-20,2.0401794277144e-17
ENSMUSG00000031723.8,849.321919966511,-1.66047982272129,0.182147447599202,-9.11613006170151,7.78548037092069e-20,2.39420446363139e-17
ENSMUSG00000018593.13,2213.33131595292,-7.49554149148139,0.827933572955269,-9.05331265251922,1.38695471494299e-19,4.17443859523055e-17
ENSMUSG00000046899.7,2586.25102478413,-14.8011780448935,1.6377165888288,-9.03769195833718,1.60014552306943e-19,4.61952215700819e-17
ENSMUSG00000031502.11,2911.31718741147,-7.18616855791427,0.802726131602563,-8.95220458759427,3.48452399285801e-19,9.66511302019008e-17
ENSMUSG00000030366.10,3770.56126564083,-15.3450820062925,1.72149208261771,-8.91382665144687,4.93008809784431e-19,1.34117358138665e-16
ENSMUSG00000023185.4,3203.06207884304,-15.1097562676121,1.69844762325361,-8.8962156152141,5.77832682793539e-19,1.5422681378863e-16
ENSMUSG00000030373.6,3030.74516508227,-15.0299781404932,1.69520952612237,-8.86614775866255,7.57199802926085e-19,1.98358303929489e-16
ENSMUSG00000059883.16,1948.78882811057,-1.08209661928128,0.122171032363004,-8.85722743232671,8.20290691807721e-19,2.10978765932946e-16
ENSMUSG00000003505.15,1863.11953917499,-14.3280326981031,1.65142795870612,-8.6761475864372,4.09400805360896e-18,1.01603224432197e-15
ENSMUSG00000028086.15,957.663229915558,-1.77584772527979,0.204992587237313,-8.66298508259695,4.5956855979317e-18,1.12087187014383e-15
