,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000032715.9,708.726755565394,2.40822924342568,0.136525205383722,17.6394478708678,1.22653516922346e-69,1.73505665038351e-65
ENSMUSG00000052684.4,18180.9220024526,3.37213900803243,0.192228544411412,17.5423427272867,6.80627352342831e-69,4.81407726312084e-65
ENSMUSG00000028680.14,16670.920470319,2.60167707422044,0.225770741541569,11.5235351421363,1.00405325604652e-30,2.02904819429058e-27
ENSMUSG00000029777.10,3774.43421125708,1.54369883614897,0.137780160878542,11.2040719527813,3.89413471975692e-29,6.12071441618682e-26
ENSMUSG00000024030.7,3167.72024555592,1.83588706375452,0.169626099117141,10.8231402673871,2.67453427145179e-27,3.439451073087e-24
ENSMUSG00000026563.13,1204.50372390958,1.16764164135931,0.108592925232744,10.7524651247467,5.76986182761795e-27,6.27849733949873e-24
ENSMUSG00000027509.11,1885.50469837691,1.24963645628591,0.120725473823922,10.3510586184031,4.13883802831657e-25,3.44400016168037e-22
ENSMUSG00000069135.11,806.31572828464,1.32318430074179,0.1315224776424,10.0605183574737,8.25624794983909e-24,5.56156588087732e-21
ENSMUSG00000026437.11,2445.44264341219,2.28470114240459,0.235066003829797,9.71940265789715,2.49239304902197e-22,1.13733522811177e-19
ENSMUSG00000001053.15,604.168963338422,2.570969690574,0.269681073742012,9.53337086247848,1.52257311745551e-21,6.25538067234042e-19
ENSMUSG00000038963.15,3084.62590213594,1.67471791473259,0.18302130419396,9.15039875881213,5.67237757382211e-20,1.82366938998381e-17
ENSMUSG00000010755.17,2704.55231067529,1.8636177634108,0.205906933624927,9.0507771185865,1.41954430877366e-19,4.18351537331504e-17
ENSMUSG00000046962.16,989.063572636887,1.02445799373887,0.113663806098084,9.01305374953598,2.00397004368054e-19,5.66963204758098e-17
ENSMUSG00000054364.5,14547.4995283553,1.64860537479751,0.190950444386212,8.63368179161226,5.94081197498311e-18,1.40064543663518e-15
ENSMUSG00000005667.8,1957.66263260493,2.15184650159463,0.26291854507258,8.18446070816572,2.73525764751172e-16,4.89784236477225e-14
ENSMUSG00000020653.12,1348.45896997607,2.03773339207156,0.24964304234277,8.16258836196072,3.27920526306598e-16,5.79845470641641e-14
ENSMUSG00000028893.8,4623.96082127357,1.20581106184072,0.152034672431769,7.9311583506181,2.17111167582297e-15,3.37500502925185e-13
ENSMUSG00000022221.14,766.459226181415,1.42421457074634,0.181228484907214,7.85866841780151,3.88238457829451e-15,5.66187755098496e-13
ENSMUSG00000043284.12,252.56308393748,1.05325782936949,0.135167913163573,7.79221787714434,6.58430675523094e-15,9.13152974112714e-13
ENSMUSG00000020205.8,6352.68354108178,2.03404328587989,0.264974350623507,7.67637803845399,1.63649712911184e-14,2.16354097088001e-12
ENSMUSG00000105340.5,91.9284609317805,9.94030161269803,1.31724317086425,7.54629200785772,4.47825355957042e-14,5.42757722521873e-12
ENSMUSG00000046711.16,1317.93975654536,1.8952276566573,0.252298131288003,7.51185768591312,5.82941424110907e-14,6.75925359464991e-12
ENSMUSG00000044468.14,868.497887964923,1.44673796470857,0.194755749385433,7.42847371270865,1.09857907844491e-13,1.1862976827238e-11
ENSMUSG00000025408.15,2944.07448094924,1.29144201331667,0.176372321585884,7.3222487616222,2.43849570095517e-13,2.42922254828957e-11
ENSMUSG00000048997.17,448.769331462692,1.55710287843237,0.214217276840724,7.26880157098681,3.6269069998194e-13,3.42041509462968e-11
ENSMUSG00000031822.20,8171.19518871439,2.28618245665386,0.316841010379006,7.21555096014599,5.37160391698751e-13,5.0322323847487e-11
ENSMUSG00000039782.15,6883.46598256719,1.62350419377832,0.225977683030731,7.18435631343976,6.75245533284606e-13,6.28422586437108e-11
ENSMUSG00000040857.15,527.716499612961,1.77131939505731,0.248711617590413,7.12198091998411,1.0638678746192e-12,9.58565283717406e-11
ENSMUSG00000027678.17,10697.4209353147,1.751720791844,0.246072638688842,7.11871421860537,1.08938520465969e-12,9.75344500323795e-11
ENSMUSG00000038697.15,659.777863817127,1.01388925822774,0.142623220814483,7.10886524955543,1.17000908147921e-12,1.0344342791628e-10
ENSMUSG00000051306.7,572.224003797771,1.06349749913239,0.150386959953955,7.07174012599238,1.5300275785856e-12,1.3038415738959e-10
ENSMUSG00000026812.16,2275.55742537665,1.0462587060587,0.147997496809873,7.06943514999303,1.5556561064221e-12,1.31774319050581e-10
ENSMUSG00000030602.13,356.131782317008,1.34647807841728,0.194902782265811,6.90846001665043,4.89943032436417e-12,3.82913488223511e-10
ENSMUSG00000021504.14,1644.90411566662,1.67637930391908,0.246930854172097,6.78886123623391,1.1302208204596e-11,8.07479986172805e-10
ENSMUSG00000055148.7,35643.9360020913,1.54672874008301,0.231140650180532,6.69172098838928,2.20561102128517e-11,1.5072740824686e-09
ENSMUSG00000042487.6,830.746915683974,1.04666748444298,0.157618753105809,6.64050097985711,3.12618756681951e-11,2.05688601489436e-09
ENSMUSG00000027340.15,1730.57268632421,1.2009041330885,0.182121561719201,6.59397010300227,4.28217978000914e-11,2.7286358183788e-09
ENSMUSG00000010095.13,12754.1713309312,1.80162737659373,0.274786649876557,6.55645890148987,5.5100495884192e-11,3.43370755408714e-09
ENSMUSG00000028917.14,2783.15545543228,1.09521194295282,0.167377719785763,6.54335561719113,6.01535588194317e-11,3.71586132340472e-09
ENSMUSG00000020134.13,3990.04403450165,1.13787898470049,0.173951808876655,6.54134608917656,6.09675579758575e-11,3.74976989185426e-09
ENSMUSG00000041153.9,1311.25227767001,2.42390170220695,0.370906452904887,6.53507557828473,6.35774275790198e-11,3.87657883850351e-09
ENSMUSG00000078249.5,232.021478163312,1.75774136718684,0.27527225725351,6.38546501098388,1.70877412088166e-10,9.40557148404355e-09
ENSMUSG00000060260.13,892.60222957661,2.7019326214012,0.424465200927953,6.365498550869,1.94656412403103e-10,1.05502283902463e-08
ENSMUSG00000040354.14,1522.9590615639,1.24818224408239,0.196297300253422,6.35863174109357,2.03558761708045e-10,1.09488298217567e-08
ENSMUSG00000037465.10,6016.9753159161,2.09025503377057,0.329206872661331,6.34936633270383,2.16203628868502e-10,1.14978065186986e-08
ENSMUSG00000101892.1,199.327595422833,1.06384822341099,0.168309156507838,6.32079825889598,2.60215560601613e-10,1.34835506237012e-08
ENSMUSG00000109511.1,1080.70497378927,1.27135685616925,0.201428276675789,6.31170994038526,2.75969104086885e-10,1.41958507142294e-08
ENSMUSG00000036875.15,952.046303739813,1.04280864343011,0.167053795567979,6.24235229067728,4.31038764073044e-10,2.13198404076128e-08
ENSMUSG00000017929.13,6098.44593276148,1.14288943485051,0.183181784039496,6.23909981466328,4.4009611726026e-10,2.169198492949e-08
ENSMUSG00000022863.15,444.898989604777,1.03087146589579,0.165619814863441,6.22432446712836,4.83635269694044e-10,2.35913949141102e-08
ENSMUSG00000038393.14,121694.766377715,1.73347191703483,0.282020347475706,6.14662003132295,7.91514307623206e-10,3.57724006250411e-08
ENSMUSG00000036411.10,295.864569562605,1.30039615024966,0.211763798810232,6.14078590181975,8.21141973844613e-10,3.69932304522481e-08
ENSMUSG00000004085.14,514.019329863791,1.5912992520595,0.26581113290788,5.98657864571452,2.14300991106922e-09,8.81250529127475e-08
ENSMUSG00000026628.13,3168.48619983779,2.71322575446168,0.458553740068943,5.91691991009331,3.28026319209442e-09,1.29979280435203e-07
ENSMUSG00000071708.11,217.604942563107,1.62384958211281,0.275525337066031,5.89364883609108,3.7775952956449e-09,1.46807316077453e-07
ENSMUSG00000053977.13,15.6650838203636,7.39363916547584,1.26788061436503,5.83149476512712,5.49330355462516e-09,2.05035018690574e-07
ENSMUSG00000008496.19,973.914291962822,4.05232435106381,0.703650955436793,5.75899786641847,8.4614771864657e-09,3.06912964819856e-07
ENSMUSG00000041712.7,898.811819422992,1.3258259854062,0.231799961222325,5.71969890941686,1.06712983209875e-08,3.77390465121722e-07
ENSMUSG00000038550.10,63.9054126610769,2.4461778386014,0.431317029848182,5.67141492062678,1.41622930016696e-08,4.86261642722376e-07
ENSMUSG00000005698.15,3926.2042520511,1.19082800454433,0.211323922336327,5.63508376798486,1.74973264424645e-08,5.85146997293389e-07
ENSMUSG00000035293.13,602.813584218536,1.02507042129524,0.181992488071691,5.6324875392189,1.77628683413735e-08,5.90862557940786e-07
ENSMUSG00000026358.13,996.832186481144,2.69343651546103,0.482050817898709,5.58745347057368,2.30423468048101e-08,7.35794667947728e-07
ENSMUSG00000011179.8,4140.18988319518,1.05535995295154,0.189406331461347,5.57193597916713,2.51924003842145e-08,7.93700881592645e-07
ENSMUSG00000031960.14,3405.42764484176,2.056535350917,0.369255618419291,5.56940842151737,2.55605692021676e-08,8.03510693186361e-07
ENSMUSG00000060301.6,81.3634070802955,1.25862873445085,0.230127720905424,5.46926171909602,4.51914021861785e-08,1.33740078520017e-06
ENSMUSG00000026880.11,4141.43688769968,1.45948451371736,0.269395041091168,5.41763689415295,6.0391906943084e-08,1.73639007239201e-06
ENSMUSG00000021645.16,938.905610591124,1.34231035910316,0.248054712720578,5.41134794167449,6.25520972371111e-08,1.79121855772505e-06
ENSMUSG00000052397.8,37131.77413612,1.42378022491795,0.264575234083013,5.3813813294075,7.39164251138618e-08,2.08230027334674e-06
ENSMUSG00000038615.17,7148.48244981732,1.2423360634342,0.230871309469604,5.3810760041527,7.40419226278389e-08,2.08230027334674e-06
ENSMUSG00000070691.10,364.937601156881,2.40169465105532,0.448043712483927,5.36040253246824,8.30367185563572e-08,2.32141782746686e-06
ENSMUSG00000058755.3,5795.79945011564,2.36023792563768,0.440930106700767,5.35286180228884,8.65739691171135e-08,2.40604197864575e-06
ENSMUSG00000021461.17,153.595102504879,1.06892023456548,0.202050187018961,5.29036993400639,1.2206920498784e-07,3.24584769503381e-06
ENSMUSG00000042821.7,1056.07850460396,1.66559454347045,0.315838329098671,5.27356685372441,1.33797482345537e-07,3.51802822539028e-06
ENSMUSG00000031821.11,2101.4986556974,1.697444237284,0.323234277699091,5.25143635559655,1.50917680732508e-07,3.874558097354e-06
ENSMUSG00000062421.13,4128.67386444639,2.016320810343,0.386300576522061,5.21956459008249,1.79344261635746e-07,4.51424185960723e-06
