,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000004768.14,1009.91140418175,-3.53763815004412,0.204297602316587,-17.3161021467205,3.55647043043868e-67,1.60337541905611e-63
ENSMUSG00000001227.12,3562.91966831963,-4.11571149096972,0.245477671614532,-16.7661338153497,4.31699960859287e-63,1.45968549265546e-59
ENSMUSG00000051615.14,1420.05418618345,-2.17771887259658,0.177124755403218,-12.2948306555969,9.65589095255307e-35,1.632449064166e-31
ENSMUSG00000039220.16,1561.05512168624,-2.30758161624573,0.18978954214383,-12.1586341912188,5.16144145935158e-34,7.75649952641446e-31
ENSMUSG00000020846.6,16222.2094013662,-2.47413218638934,0.207436897409255,-11.9271557629793,8.54431839622178e-33,1.155619063089e-29
ENSMUSG00000000631.20,3455.60848560701,-1.84494944617421,0.159298899991631,-11.5816835287069,5.10338449398751e-31,4.93023394865579e-28
ENSMUSG00000031378.14,3294.94950487465,-1.32080196749077,0.115564589823299,-11.4291234841945,2.99112806611752e-30,2.6970004729493e-27
ENSMUSG00000051343.11,535.247386483745,-2.29104009721453,0.203693531040188,-11.2474857965053,2.38287806843214e-29,2.01427661722154e-26
ENSMUSG00000019464.6,2244.55996815457,-2.35510377891525,0.210054614072212,-11.2118640636269,3.56603094395499e-29,2.67947602872174e-26
ENSMUSG00000059883.16,3939.07901108975,-2.41107935461682,0.216892898639422,-11.1164513441501,1.04340061493553e-28,6.7199968176205e-26
ENSMUSG00000030876.7,15874.7978140189,-2.07563380193748,0.189516037803627,-10.9522857589932,6.47916580474381e-28,3.98321443223455e-25
ENSMUSG00000073609.9,956.815523010165,-2.12366127312258,0.200535189642582,-10.5899681592424,3.31704663085165e-26,1.72550214162571e-23
ENSMUSG00000037525.5,161.560386957854,-2.51352070401751,0.244654072864748,-10.2737742093796,9.25129633388886e-25,4.46870653270882e-22
ENSMUSG00000031377.11,7512.39744579562,-1.95355063628594,0.194038450588997,-10.0678532030946,7.66324798800038e-24,3.23891965742829e-21
ENSMUSG00000079429.9,1077.85334138758,-2.18208453243389,0.217356886904608,-10.0391782542945,1.02524670113402e-23,4.20195807055684e-21
ENSMUSG00000028088.14,5096.30179915644,-2.42101442548445,0.244474866427789,-9.9029174690215,4.04305217226667e-23,1.56235087514019e-20
ENSMUSG00000002997.15,2906.69183249992,-1.80044082370508,0.18315085195068,-9.83037100034845,8.33112903201946e-23,3.12995889327953e-20
ENSMUSG00000030282.14,3259.70746150736,-1.29442376326227,0.136103666563169,-9.51057231556285,1.89616429338546e-21,5.82855047000872e-19
ENSMUSG00000041324.14,1885.44393397859,-1.65797884324504,0.17701576998491,-9.36627761123416,7.51356948285593e-21,2.16214951607716e-18
ENSMUSG00000052917.15,1800.26875165151,-2.31826733461906,0.253902504458488,-9.13054142401375,6.81575642485516e-20,1.84366211292332e-17
ENSMUSG00000078566.8,1435.3578438925,-1.7692343192458,0.195123078006876,-9.06727352457739,1.22032284806156e-19,3.17401279231397e-17
ENSMUSG00000044068.7,638.108877685271,-2.01499641835261,0.224512192558025,-8.97499772905135,2.83357635985742e-19,7.09705930871697e-17
ENSMUSG00000024063.13,752.268226841178,-2.34355780191796,0.261412256926901,-8.96498821236716,3.10314052973804e-19,7.63090466631037e-17
ENSMUSG00000069520.6,1256.79320337661,-2.12374331345186,0.237713167581317,-8.93405836563667,4.10660533402503e-19,9.91818520405152e-17
ENSMUSG00000028607.16,503.813491174259,-2.51890809679738,0.28202822153983,-8.93140439295238,4.20634477895465e-19,9.98084440971257e-17
ENSMUSG00000062944.4,93.4542206070967,-3.15786906650074,0.357312000634151,-8.83784776580751,9.75801143794835e-19,2.12866297900405e-16
ENSMUSG00000051490.3,981.847321145942,-2.94489810279121,0.334654152960976,-8.79982536219896,1.37029227361908e-18,2.94177825407906e-16
