,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000026437.11,2485.71462969152,7.2449623629689,0.312735974824229,23.1663861730039,9.93986557933799e-119,1.34436681960546e-114
ENSMUSG00000031444.16,2217.13224987356,4.01197217605211,0.228697591237429,17.5426953749022,6.76416255045575e-69,4.5742649247457e-65
ENSMUSG00000001785.13,6427.74640902709,2.48078770180172,0.1912562680616,12.9710138493484,1.78651549814087e-38,4.83252442247105e-35
ENSMUSG00000038963.15,3088.48201307752,5.86777690621842,0.466152908266079,12.5876655538725,2.46866613845826e-36,5.56478492044132e-33
ENSMUSG00000032621.8,1234.39991287971,2.08234243270918,0.169210254493181,12.3062425439062,8.38362134213597e-35,1.61983540931984e-31
ENSMUSG00000038535.17,569.819113444712,2.43204627922732,0.204943166159335,11.866930353445,1.75800359348578e-32,2.16154532744502e-29
ENSMUSG00000041313.14,806.67142631916,4.15947819718512,0.354563126120166,11.7312768609092,8.81192553186008e-32,9.93177440153396e-29
ENSMUSG00000026628.13,5852.88725807509,5.82448566643044,0.499645728099107,11.657230991626,2.10786277720553e-31,2.19298800474652e-28
ENSMUSG00000010755.17,2601.19925824909,1.79533197252922,0.159995583471114,11.2211345687136,3.21123860883699e-29,2.55482365791296e-26
ENSMUSG00000089809.9,211.766983830897,3.8869642423721,0.347127883800507,11.1974993187408,4.19405466722313e-29,2.98550470390489e-26
ENSMUSG00000037465.10,5243.87260216315,4.10275215556158,0.368611338280458,11.1302928843714,8.93414696142003e-29,6.0417168826603e-26
ENSMUSG00000035095.11,489.138142272884,4.80383756399748,0.449158705283362,10.6951897124356,1.07200052274568e-26,6.30382916092839e-24
ENSMUSG00000035778.17,1684.92402115209,2.32636103974183,0.21851113745229,10.6464186076088,1.81202864977129e-26,1.02115364533986e-23
ENSMUSG00000017677.11,17694.3547015865,2.62674892681494,0.247023738218561,10.6335890864499,2.07952299306534e-26,1.12502193924835e-23
ENSMUSG00000005667.8,1856.28310541263,2.90377824491396,0.27500857254256,10.5588644676324,4.62219274215936e-26,2.31537617917427e-23
ENSMUSG00000027397.14,9387.17299412566,2.88108607342786,0.281919543611315,10.219532979239,1.62120047886496e-24,7.56094361263746e-22
ENSMUSG00000038393.14,165270.898362304,3.70890794693089,0.367076380512837,10.1039133647042,5.30807415634259e-24,2.39305676548445e-21
ENSMUSG00000048721.2,2540.35581022849,3.92866258862869,0.389065861482954,10.0976800525605,5.65644765922063e-24,2.4678533739019e-21
ENSMUSG00000034826.14,1090.11223078192,1.54860870301017,0.155395154061868,9.96561773344372,2.15529806469526e-23,8.57364891911866e-21
ENSMUSG00000031960.14,3323.81377887774,2.46991285478531,0.253431206596018,9.74589076049531,1.92086775521581e-22,7.02155037548481e-20
ENSMUSG00000007812.16,1584.01557184232,1.5098742686452,0.155134228441246,9.73269589706977,2.18718061723167e-22,7.78463627580482e-20
ENSMUSG00000032633.12,8134.04128995364,3.15736260000781,0.325864879228329,9.68917732860525,3.35217847486671e-22,1.16251830442493e-19
ENSMUSG00000069135.11,668.885192286155,2.1465182638861,0.223431650347978,9.60704654216655,7.46597727207978e-22,2.52443356512198e-19
ENSMUSG00000002319.16,436.549986403455,2.7533420586224,0.286939569594347,9.59554676448026,8.34733366619672e-22,2.75360214232465e-19
ENSMUSG00000030162.14,6460.78843508208,5.251341765991,0.549303546796009,9.55999974262164,1.17756997370028e-21,3.79205568911817e-19
ENSMUSG00000006599.13,1875.17919113056,1.22407655585576,0.128113352483026,9.55463682849096,1.24018122304007e-21,3.90080256781788e-19
ENSMUSG00000032423.12,2394.82868720271,1.41865918050909,0.150457538333065,9.42896711076472,4.14146986848109e-21,1.24474177713793e-18
ENSMUSG00000011179.8,3548.1878200018,2.43480257751362,0.259324185898496,9.38903006319141,6.0555310036014e-21,1.78045775703715e-18
ENSMUSG00000024528.8,180.085002206668,2.51270178161985,0.270683845281245,9.28279180831465,1.6509488914112e-20,4.65189244923675e-18
ENSMUSG00000030161.8,507.640050786353,1.83394167925207,0.200546944429599,9.14470018213552,5.97954966679592e-20,1.65047773966153e-17
ENSMUSG00000021504.14,1904.84935387771,2.56605069518238,0.281924868509213,9.10189551120967,8.87688156607743e-20,2.35411418002347e-17
ENSMUSG00000037242.8,1517.65425205345,3.40392444360808,0.378260495000151,8.99888962395272,2.2801200854312e-19,5.81860833121829e-17
ENSMUSG00000034707.7,9952.48080044744,3.24450389441497,0.364613757915882,8.89846810213753,5.66227570973905e-19,1.29800472837662e-16
ENSMUSG00000055148.7,37189.2233888126,1.9475981256306,0.218866357313451,8.89857239612818,5.65695847914443e-19,1.29800472837662e-16
ENSMUSG00000018583.5,1624.95261213702,1.87417759765538,0.210896256197265,8.88672768046834,6.29350103765752e-19,1.41866002557197e-16
ENSMUSG00000028826.14,1006.04453084539,1.5776601603174,0.178155563254696,8.85552003819236,8.32945537087295e-19,1.84681776870585e-16
ENSMUSG00000044350.14,990.153542511584,6.36022759280459,0.727469355243186,8.74294916612456,2.27102883185268e-18,4.72548691550885e-16
ENSMUSG00000028626.5,219.348044798985,4.97909726626317,0.572729927654376,8.6936215934361,3.51065573567125e-18,7.08680877984383e-16
ENSMUSG00000109511.1,1161.41564911839,1.92199415490685,0.223889224349038,8.58457641494397,9.11717302576521e-18,1.78709804599238e-15
ENSMUSG00000074656.12,3211.90756778477,1.619177154792,0.188944110532088,8.56960902476511,1.03836973336584e-17,1.97802121743282e-15
ENSMUSG00000039081.10,328.191011807129,3.22314037280772,0.378051474115561,8.52566540137993,1.51933864871691e-17,2.81493907176661e-15
ENSMUSG00000010307.7,297.103648202419,2.89474297178459,0.34547262970288,8.37908049119314,5.33427867610685e-17,9.24950244799297e-15
ENSMUSG00000028869.13,1142.89084677789,1.8424055663509,0.221423092939179,8.32074713569725,8.74105517569172e-17,1.49649077533203e-14
ENSMUSG00000032178.14,1183.09031504707,3.00936025188779,0.361860843385754,8.31634675841323,9.07161540469343e-17,1.53366997935598e-14
ENSMUSG00000067148.15,435.404295008281,1.87505728763138,0.226603091143003,8.27463243406543,1.28852484508667e-16,2.07467839640443e-14
ENSMUSG00000046711.16,1287.1175509842,3.38024494485081,0.408699396140441,8.27073633279668,1.33134186616885e-16,2.1183998517569e-14
