,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000025804.5,18988.7681370587,-1.95896017191687,0.0939760892408539,-20.845304244319,1.68136520773455e-96,2.39493660189709e-93
ENSMUSG00000033985.17,2614.57179328749,-1.38334245662434,0.0740591709971077,-18.6788811972843,7.35444636855235e-78,6.98378227157731e-75
ENSMUSG00000037514.17,1043.208980748,-1.09866617377266,0.073385968312345,-14.9710659822124,1.13487513869403e-50,5.98709684279919e-48
ENSMUSG00000000056.7,3480.30597255856,-2.34951478249156,0.174868437303349,-13.435899689638,3.72513192564669e-41,1.56061115143857e-38
ENSMUSG00000051615.14,1485.79102455989,-1.61566585394701,0.126474108831214,-12.7746767214086,2.27089267931842e-37,8.2939988010799e-35
ENSMUSG00000041264.16,1034.09825292247,-1.5163806345708,0.121924152644928,-12.4370815927412,1.64401521517131e-35,5.4458959825349e-33
ENSMUSG00000033114.11,1146.50430994583,-1.38668218005357,0.115912856492377,-11.9631438825318,5.5423084717604e-33,1.5788928374351e-30
ENSMUSG00000037344.14,1888.93650275602,-1.71009141784029,0.14385952788854,-11.8872308490074,1.37903285159572e-32,3.85155763492735e-30
ENSMUSG00000025854.15,1774.81744206622,-3.00354690091601,0.260737000693467,-11.5194502235112,1.05280583129055e-30,2.54172309506824e-28
ENSMUSG00000025578.9,141.779160019056,-2.73508061318828,0.248350544533061,-11.0129841604764,3.30859843444224e-28,7.4805835079675e-26
ENSMUSG00000030956.15,1397.6924454467,-1.24112422822383,0.117851510499415,-10.5312543128583,6.20027181815669e-26,1.20981742161403e-23
ENSMUSG00000031634.13,1283.80065970276,-1.42234101424054,0.143294824844575,-9.92597615289517,3.20946774879124e-23,5.44234031116458e-21
ENSMUSG00000001227.12,3447.12785749194,-3.9914238030562,0.419391872712849,-9.51717012835169,1.77959063443581e-21,2.78554824141798e-19
ENSMUSG00000044345.9,623.110067586077,-1.66436273349933,0.175454816057653,-9.48599058661592,2.40091718097927e-21,3.59985940272302e-19
ENSMUSG00000059883.16,4589.47099610386,-1.19322483577794,0.131286373306352,-9.08871808800438,1.0021359475247e-19,1.2521424944335e-17
ENSMUSG00000079429.9,1184.47917740415,-1.34910279064098,0.149120311251937,-9.04707601073664,1.46847808047102e-19,1.80318980846804e-17
ENSMUSG00000020484.19,3669.15862949045,-1.30421137871062,0.147153624693478,-8.86292390980721,7.7942778794083e-19,9.25180784285766e-17
ENSMUSG00000020923.17,3476.76125742281,-1.00312742612134,0.113887624397869,-8.80804592619209,1.27346263353275e-18,1.45113614016324e-16
ENSMUSG00000032120.11,1056.57435233673,-1.55773471033687,0.177910452580746,-8.75572338634728,2.02798533976297e-18,2.27453725823495e-16
ENSMUSG00000117748.1,94.5766194286949,-5.20454615136987,0.600888869879719,-8.66141213834045,4.65955591651105e-18,5.02808442990783e-16
ENSMUSG00000031631.15,425.68184903123,-1.74369746661609,0.20165238698358,-8.64704600178163,5.2849669605591e-18,5.61784099897044e-16
ENSMUSG00000046556.7,947.162340712249,-1.03586416853134,0.123289110466527,-8.40191128487839,4.39269651324536e-17,4.43755809465723e-15
ENSMUSG00000021697.12,1378.9911722598,-1.35251231714038,0.163904457494736,-8.25183364634129,1.55982452798732e-16,1.51143813446608e-14
ENSMUSG00000030055.16,3950.58895134345,-1.18256424599298,0.144096979117349,-8.20672475742834,2.27303834929721e-16,2.1729636407644e-14
ENSMUSG00000024947.17,909.131463787963,-1.38730358600282,0.170319411623423,-8.14530518147953,3.78326504467239e-16,3.56879650968964e-14
ENSMUSG00000039852.17,2749.75064161965,-1.27090061140633,0.157201231702388,-8.08454614282148,6.23961201493614e-16,5.69724573979169e-14
ENSMUSG00000022075.7,866.586911738959,-2.47544260722179,0.31590892664136,-7.83593750749586,4.6535729663557e-15,3.76622121208924e-13
ENSMUSG00000036941.2,1380.49197820331,-1.89009835550074,0.2430872057469,-7.77539216715789,7.52140262421032e-15,5.98518765247216e-13
ENSMUSG00000026283.13,1824.56008642189,-1.76323271135576,0.228579742018133,-7.71386254874627,1.22065935382566e-14,9.50113215076106e-13
ENSMUSG00000024190.7,38694.8491854379,-2.94189263989554,0.383634005433915,-7.66848766852163,1.74036089824823e-14,1.31162437220358e-12
ENSMUSG00000030380.17,124.449629154112,-2.87216000639648,0.377647499961782,-7.60539923258367,2.8402573333768e-14,2.04326391195046e-12
ENSMUSG00000004768.14,1042.87470751568,-2.60195635010272,0.344548525418609,-7.55178489573123,4.29333163582753e-14,3.05771079103636e-12
ENSMUSG00000028107.14,622.060960450224,-1.37856269084906,0.184188133092984,-7.4845358802411,7.18004169278403e-14,5.03805487054265e-12
ENSMUSG00000026869.12,935.658350564326,-1.2803661861085,0.172631880623178,-7.41674238551154,1.2003610214072e-13,8.14187732805912e-12
ENSMUSG00000026946.9,893.088012518015,-1.14904574891916,0.156112991077785,-7.36034676541836,1.83433092380865e-13,1.20963933697826e-11
ENSMUSG00000057506.5,770.427895999051,-1.06862189876455,0.1476498476174,-7.23754149434431,4.56890986446709e-13,2.89242453819863e-11
ENSMUSG00000024042.7,7798.44154105575,-2.46682961332419,0.342306888374187,-7.20648545824067,5.74144517761584e-13,3.57122904410306e-11
ENSMUSG00000036555.14,149.274262177165,-1.85819720562766,0.258417958891908,-7.19066590261598,6.447607881163e-13,3.97574574282622e-11
ENSMUSG00000003868.14,676.840767605874,-1.17297488718989,0.164313906952592,-7.1386220980572,9.42711117860144e-13,5.66581314886071e-11
ENSMUSG00000039157.12,1241.75290580049,-1.35949790541785,0.191009169013319,-7.11744840543782,1.09943354049957e-12,6.55243989576393e-11
ENSMUSG00000034570.12,528.940815276777,-1.33775641147058,0.190607572581224,-7.01838019001327,2.24455103607771e-12,1.29438805497534e-10
ENSMUSG00000029033.16,1631.71468809638,-1.18892985862276,0.170820010598809,-6.96013221434055,3.39953541270784e-12,1.87685978366707e-10
ENSMUSG00000021250.13,18964.0587927062,-3.57107260168658,0.522165066750927,-6.83897263351397,7.97631193444493e-12,4.16170649063127e-10
ENSMUSG00000031431.13,5291.97418567496,-1.08925433177048,0.159599816782597,-6.82490966298689,8.79806613378477e-12,4.5241752350047e-10
ENSMUSG00000098112.8,12841.7607170032,-1.33099286732523,0.196472915410128,-6.77443435166037,1.24893928646842e-11,6.24206708647588e-10
ENSMUSG00000030733.10,2063.17918282506,-1.20903150435563,0.179752081346535,-6.72610573017398,1.74263960251293e-11,8.47172644989563e-10
ENSMUSG00000020978.10,1467.04033089507,-1.35957074941469,0.202223230784606,-6.72311852668799,1.7787577208915e-11,8.61789965182943e-10
ENSMUSG00000028619.15,1170.7972375438,-1.35678278840449,0.203676151327274,-6.66147106356288,2.71100181044292e-11,1.27024703249832e-09
ENSMUSG00000051735.7,7529.28575510385,-1.23937785184365,0.188010121386805,-6.59208048322997,4.33705354475879e-11,1.94880096818752e-09
ENSMUSG00000058755.3,11938.1402146833,-3.45663911350421,0.524889679769599,-6.58545832911309,4.53484272804691e-11,2.02489968082446e-09
ENSMUSG00000015971.5,662.794593830967,-1.25761265149193,0.191218106932866,-6.57684918893929,4.8052170519561e-11,2.1322589310923e-09
ENSMUSG00000032109.15,5299.01567499449,-1.70832355545869,0.259973164426282,-6.57115344665929,4.99269739451211e-11,2.20857085985809e-09
ENSMUSG00000002326.6,591.334705332553,-1.22180368684525,0.187169131544936,-6.52780550275684,6.67402827057044e-11,2.88075329351531e-09
ENSMUSG00000061815.11,1805.05450312439,-2.01721042839649,0.309772636331624,-6.51190644946764,7.42029300271265e-11,3.16451058474967e-09
ENSMUSG00000030708.14,151.95025660686,-2.48037756868454,0.382313064717219,-6.4878179627975,8.70884110055415e-11,3.64849213636157e-09
ENSMUSG00000092622.8,204.692417129793,-2.14760273575841,0.333523878430971,-6.43912737481223,1.20162330113191e-10,4.83500629980874e-09
ENSMUSG00000035673.10,25641.5031238159,-1.25625456782743,0.196909004012101,-6.37987365854649,1.77234138479597e-10,6.86011703397658e-09
ENSMUSG00000036959.15,828.082487783562,-1.74080210977556,0.273026871108323,-6.37593692777915,1.81847758329907e-10,6.98177754622965e-09
ENSMUSG00000047284.14,925.366604051267,-1.00810784504326,0.15825254245901,-6.37024738673236,1.88723542378029e-10,7.18764207923167e-09
ENSMUSG00000020846.6,18082.2068932176,-1.45158580384071,0.227888958937877,-6.36970659134222,1.89390157297252e-10,7.19379573477883e-09
ENSMUSG00000037904.14,501.180501304488,-2.99431597821858,0.474963132930097,-6.30431242051636,2.8947606527558e-10,1.06821167714647e-08
ENSMUSG00000030876.7,17677.3536152356,-1.21618760345846,0.194125160469087,-6.26496637797825,3.72905858816777e-10,1.34133107398641e-08
ENSMUSG00000029073.9,490.407396520595,-1.01556146865378,0.16227744601012,-6.2581800097498,3.89496094289119e-10,1.39747666676429e-08
ENSMUSG00000064128.8,650.548939520627,-1.43062719277474,0.232876990594619,-6.14327413421922,8.08375912837773e-10,2.66539502371788e-08
ENSMUSG00000027636.11,343.119183472747,-2.21478522959488,0.363515127915668,-6.09269067368413,1.11028475347293e-09,3.54594081355794e-08
ENSMUSG00000021018.8,193.910869748431,-1.5743850533003,0.260906723382759,-6.0342831832303,1.59669850314615e-09,4.91217569736798e-08
ENSMUSG00000035105.5,1261.81969764659,-2.2535864195278,0.375865069097243,-5.9957325242819,2.02570209763057e-09,6.03642273611922e-08
ENSMUSG00000058594.15,4119.1187521653,-1.12321609787123,0.187480484324545,-5.9911094315654,2.08414334749113e-09,6.18469538367993e-08
ENSMUSG00000037349.9,273.408609077493,-2.26000558880061,0.377586703920244,-5.98539505055767,2.15865275873085e-09,6.37922196999218e-08
ENSMUSG00000045538.6,120.246799503344,-1.71177810669602,0.286945606288508,-5.96551426187346,2.43864745615869e-09,7.14734451965522e-08
ENSMUSG00000029196.9,603.262200080982,-1.39956828536488,0.234958880864028,-5.95665199041708,2.57457671307723e-09,7.4841368777698e-08
ENSMUSG00000063785.12,1485.09968218332,-1.33741815820496,0.224669915532886,-5.95281373134801,2.63571221909692e-09,7.61523019245773e-08
ENSMUSG00000020455.16,4106.22211338528,-1.5060656534591,0.25721649220806,-5.85524528590825,4.76306505081844e-09,1.31738055502637e-07
ENSMUSG00000068267.5,2166.95921174975,-1.11753938289788,0.191842784470989,-5.82528754458771,5.70143480756429e-09,1.54688071236087e-07
