ENSEMBLE	Chrom	Start	End	Strand	Type	SYMBOL
ENSMUSG00000117633.1	chr18	14232309	14278542	+	lincRNA	8430422H06Rik
ENSMUSG00000035530.13	chr11	100319885	100322096	+	protein_coding	Eif1
ENSMUSG00000030030.5	chr6	83156404	83162945	+	protein_coding	1700003E16Rik
ENSMUSG00000115522.1	chr15	95802033	95804401	-	antisense	Gm49173
ENSMUSG00000102057.1	chr19	45317893	45318429	+	lincRNA	Gm29594
ENSMUSG00000014907.10	chr8	66860217	66890564	+	protein_coding	Naf1
ENSMUSG00000020659.16	chr12	31484829	31499616	-	protein_coding	Cbll1
ENSMUSG00000102598.1	chrY	23850730	23852312	-	lincRNA	Gm35670
ENSMUSG00000039771.13	chr5	136116631	136122947	+	protein_coding	Polr2j
ENSMUSG00000089830.1	chr5	120648040	120648749	+	lincRNA	Gm15749
ENSMUSG00000022227.5	chr14	56017971	56020384	+	protein_coding	Mcpt1
ENSMUSG00000059077.6	chr7	113385580	113388570	-	protein_coding	Pth
ENSMUSG00000079402.9	chr14	3652030	3673215	+	protein_coding	Gm3020
ENSMUSG00000072770.9	chr6	125049689	125063267	+	protein_coding	Acrbp
ENSMUSG00000039568.6	chr16	4874778	4880315	-	protein_coding	Ubald1
ENSMUSG00000115697.2	chr13	23096976	23108732	+	protein_coding	Vmn1r216
ENSMUSG00000114694.1	chr1	151198448	151199350	+	protein_coding	Gm47995
ENSMUSG00000022347.8	chr15	60896859	60923012	-	protein_coding	A1bg
ENSMUSG00000050721.9	chr9	65552698	65580040	-	protein_coding	Plekho2
ENSMUSG00000001323.17	chr11	74906359	74925948	-	protein_coding	Srr
ENSMUSG00000056696.5	chr7	6564841	6571401	+	protein_coding	Olfr1350
ENSMUSG00000015355.13	chr1	171682009	171705258	+	protein_coding	Cd48
ENSMUSG00000110139.1	chr7	7334149	7374573	-	protein_coding	Gm45783
ENSMUSG00000021404.12	chr13	33149275	33159742	-	protein_coding	Serpinb9c
ENSMUSG00000085069.2	chr4	154637576	154644724	+	antisense	Prdm16os
ENSMUSG00000042616.8	chr4	126058565	126092195	+	protein_coding	Oscp1
